0;Zeus;;;;;;;;;;;;;;;;;;;;;;;
1;E.T;;;;;;;;;;;;;;;;;;;;;;;
2;Néo;;;;;;;;;;;;;;;;;;;;;;;
3;M (le chanteur);;;;;;;;;;;;;;;;;;;;;;;
4;raie;;;;;;;;;;;;;;;;;;;;;;;
5;lit;;;;;;;;;;;;;;;;;;;;;;;
6;jeu (de cartes);;;;;;;;;;;;;;;;;;;;;;;
7;James Bond 007;;;;;;;;;;;;;;;;;;;;;;;
8;faon;;;;;;;;;;;;;;;;;;;;;;;
9;pêt (retentissant);;;;;;;;;;;;;;;;;;;;;;;
10;tasse;;;;;;;;;;;;;;;;;;;;;;;
11;tutu;;;;;;;;;;;;;;;;;;;;;;;
12;tonneau;;;;;;;;;;;;;;;;;;;;;;;
13;tamis(ser);;;;;;;;;;;;;;;;;;;;;;;
14;Thor;;;;;;;;;;;;;;;;;;;;;;;
15;dalle, tôle - Dali;;;;;;;;;;;;;;;;;;;;;;;
16;tâche;;;;;;;;;;;;;;;;;;;;;;;
17;ticket;;;;;;;;;;;;;;;;;;;;;;;
18;touffe (petite);;;;;;;;;;;;;;;;;;;;;;;
19;tapis;;;;;;;;;;;;;;;;;;;;;;;
20;NASA (astronaute);;;;;;;;;;;;;;;;;;;;;;;
21;natte;;;;;;;;;;;;;;;;;;;;;;;
22;Nina;;;;;;;;;;;;;;;;;;;;;;;
23;Nâm;;;;;;;;;;;;;;;;;;;;;;;
24;nord (winter is coming);;;;;;;;;;;;;;;;;;;;;;;
25;nouille;;;;;;;;;;;;;;;;;;;;;;;
26;nuage;;;;;;;;;;;;;;;;;;;;;;;
27;Naguy;;;;;;;;;;;;;;;;;;;;;;;
28;navet;;;;;;;;;;;;;;;;;;;;;;;
29;nappe;;;;;;;;;;;;;;;;;;;;;;;
30;Moise;;;;;;;;;;;;;;;;;;;;;;;
31;moto;;;;;;;;;;;;;;;;;;;;;;;
32;Moine;;;;;;;;;;;;;;;;;;;;;;;
33;momie;;;;;;;;;;;;;;;;;;;;;;;
34;Marie (Claude);;;;;;;;;;;;;;;;;;;;;;;
35;malle;;;;;;;;;;;;;;;;;;;;;;;
36;macher;;;;;;;;;;;;;;;;;;;;;;;
37;Mickey;;;;;;;;;;;;;;;;;;;;;;;
38;mafieu;;;;;;;;;;;;;;;;;;;;;;;
39;mi-bas;;;;;;;;;;;;;;;;;;;;;;;
40;rose (une seule);;;;;;;;;;;;;;;;;;;;;;;
41;rateau;;;;;;;;;;;;;;;;;;;;;;;
