word_list,translations
a,"(indique, excellent, un,, par,, un, la, A, tous, une, A,, par, “excellent”"
abandon,"s’abandonner, abandonner, interrompre, délaisser"
able,"-able,, pouvoir, doué/-ée, compétent, capable"
abortion,avortement
about,"pas, et, sur, sur,, et…, presque, dans, Et, environ,, quelque, environ, de, autour, ici"
above,"au-dessus, surtout, mention, en, plus, ci-dessus"
above,"au-dessus, surtout, mention, en, plus, ci-dessus"
abroad,"à, qui"
absence,"absence, manque, défaut"
absent,"absent/-ente, s’absenter, absent"
absolute,"absolu/-ue, absolu, total/-ale, véritable"
absolutely,"absolument, certainement, bien"
absorb,"assimiler, absorber, absorbé/-ée"
abstract,"abstrait, résumé, abstrait/-aite"
absurd,"absurde, ridicule"
abundance,abondance
abuse,"injurier, injure, usage, insulter, injures, maltraiter, maltraitance, insultes, abuser, mauvais, abus"
abuse,"injurier, injure, usage, insulter, injures, maltraiter, maltraitance, insultes, abuser, mauvais, abus"
academic,"scolaire, universitaire, académique"
academic,"scolaire, universitaire, académique"
academy,"académie, académie,"
accelerate,"accélérer, (s’)accélérer"
accent,"accentuer, accent"
accept,"admis/-ise, accepter,, accepter/assumer, admettre, accepter, accept, accepté/-ée"
acceptable,"acceptable, raisonnable"
acceptance,"acceptation, approbation"
access,"accès, accéder"
access,"accès, accéder"
accessible,accessible
accident,"accident, (par), accidentellement"
accidentally,accidentellement
accommodate,"satisfaire, accueillir, loger"
accommodation,logement
accompany,"accompagner, accompagné/-ée"
accomplish,"accomplir, réaliser"
accomplishment,"talent, accomplissement, réalisation"
accordance,"accord, conformité, en, conformément"
accordingly,en
account,"d’après, représenter, à, accompte, compte, expliquer, en, prendre, compte-rendu, comptes"
account,"d’après, représenter, à, accompte, compte, expliquer, en, prendre, compte-rendu, comptes"
accountability,responsabilité
accountable,responsable
accountant,comptable
accounting,comptabilité
accumulate,(s’)accumuler
accumulation,accumulation
accuracy,"précision,, exactitude, fidélité, précision, justesse"
accurate,"précis/-ise, fidèle,, fidèle, exact/-exacte, exact, juste"
accurately,"correctement, exactement, fidèlement, avec"
accusation,accusation
accuse,accuser
achieve,"accomplir, réaliser, accomplir,"
achievement,réussite
acid,"acide, aigre"
acid,"acide, aigre"
acknowledge,"se, accuser, adresser, saluer, reconnaître"
acquire,acquérir
acquisition,acquisition
acre,acre
across,"à, partout, en, de, général/-ale"
across,"à, partout, en, de, général/-ale"
act,"acte, faire, se, numéro, loi, divertissement, comédie, s’y, agir, jouer"
act,"acte, faire, se, numéro, loi, divertissement, comédie, s’y, agir, jouer"
action,"combat, hors, acte, méchanisme, mécanisme, en, jeu, action,, agir, action"
activate,"activer,"
activation,
active,"actif/-ive, l’actif, actif, en, la"
activist,activiste
activity,activité
actor,"acteur/-trice, acteur"
actress,actrice
actual,"véritable, reel,, réel/-elle"
actually,"vraiment, véritablement, en"
acute,"critique, avisé, aigu, développé, grave, aigu/-uë"
ad,"ap., après, annonce"
adapt,"(s’)adapter, s’adapter, adapter"
adaptation,adaptation
