words,levels,def_urls,types,sound_urls,sound_files
a,A1,https://www.oxfordlearnersdictionaries.com/definition/english/a_1,(indefinite article),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/a__/a__us/a__us_2_rr.mp3,a__us_2_rr.mp3
abandon,B2,https://www.oxfordlearnersdictionaries.com/definition/english/abandon_1,(verb),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aba/aband/abandon__us_2.mp3,abandon__us_2.mp3
ability,A2,https://www.oxfordlearnersdictionaries.com/definition/english/ability_1,(noun),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abi/abili/ability__us_4.mp3,ability__us_4.mp3
able,A2,https://www.oxfordlearnersdictionaries.com/definition/english/able_1,(adjective),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abl/able_/able__us_2.mp3,able__us_2.mp3
abolish,C1,https://www.oxfordlearnersdictionaries.com/definition/english/abolish,(verb),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/aboli/abolish__us_1.mp3,abolish__us_1.mp3
abortion,C1,https://www.oxfordlearnersdictionaries.com/definition/english/abortion,(noun),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/abort/abortion__us_1.mp3,abortion__us_1.mp3
about,A1,https://www.oxfordlearnersdictionaries.com/definition/english/about_2,(adverb),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/about/about__us_1.mp3,about__us_1.mp3
about,A1,https://www.oxfordlearnersdictionaries.com/definition/english/about_1,(preposition),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/about/about__us_1.mp3,about__us_1.mp3
above,A1,https://www.oxfordlearnersdictionaries.com/definition/english/above_2,(adverb),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/above/above__us_2.mp3,above__us_2.mp3
above,A1,https://www.oxfordlearnersdictionaries.com/definition/english/above_1,(preposition),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/above/above__us_2.mp3,above__us_2.mp3
abroad,A2,https://www.oxfordlearnersdictionaries.com/definition/english/abroad,(adverb),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abr/abroa/abroad__us_4.mp3,abroad__us_4.mp3
absence,C1,https://www.oxfordlearnersdictionaries.com/definition/english/absence,(noun),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absen/absence__us_1.mp3,absence__us_1.mp3
absent,C1,https://www.oxfordlearnersdictionaries.com/definition/english/absent_1,(adjective),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absen/absent__us_1.mp3,absent__us_1.mp3
absolute,B2,https://www.oxfordlearnersdictionaries.com/definition/english/absolute_1,(adjective),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absol/absolute__us_1_rr.mp3,absolute__us_1_rr.mp3
absolutely,B1,https://www.oxfordlearnersdictionaries.com/definition/english/absolutely,(adverb),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absol/absolutely__us_1_rr.mp3,absolutely__us_1_rr.mp3
absorb,B2,https://www.oxfordlearnersdictionaries.com/definition/english/absorb,(verb),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absor/absorb__us_2_rr.mp3,absorb__us_2_rr.mp3
abstract,B2,https://www.oxfordlearnersdictionaries.com/definition/english/abstract_1,(adjective),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/abstr/abstract__us_2_rr.mp3,abstract__us_2_rr.mp3
absurd,C1,https://www.oxfordlearnersdictionaries.com/definition/english/absurd,(adjective),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absur/absurd__us_1_rr.mp3,absurd__us_1_rr.mp3
abundance,C1,https://www.oxfordlearnersdictionaries.com/definition/english/abundance,(noun),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abu/abund/abundance__us_1.mp3,abundance__us_1.mp3
abuse,C1,https://www.oxfordlearnersdictionaries.com/definition/english/abuse_1,(noun),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abu/abuse/abuse__us_3.mp3,abuse__us_3.mp3
abuse,C1,https://www.oxfordlearnersdictionaries.com/definition/english/abuse_2,(verb),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abu/abuse/abuse__us_1.mp3,abuse__us_1.mp3
academic,B1,https://www.oxfordlearnersdictionaries.com/definition/english/academic_1,(adjective),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aca/acade/academic__us_2.mp3,academic__us_2.mp3
academic,B2,https://www.oxfordlearnersdictionaries.com/definition/english/academic_2,(noun),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aca/acade/academic__us_2.mp3,academic__us_2.mp3
academy,C1,https://www.oxfordlearnersdictionaries.com/definition/english/academy,(noun),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aca/acade/academy__us_1.mp3,academy__us_1.mp3
accelerate,C1,https://www.oxfordlearnersdictionaries.com/definition/english/accelerate,(verb),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accel/accelerate__us_1.mp3,accelerate__us_1.mp3
accent,B2,https://www.oxfordlearnersdictionaries.com/definition/english/accent_1,(noun),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accen/accent__us_1_rr.mp3,accent__us_1_rr.mp3
accept,A2,https://www.oxfordlearnersdictionaries.com/definition/english/accept,(verb),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accep/accept__us_1.mp3,accept__us_1.mp3
acceptable,B2,https://www.oxfordlearnersdictionaries.com/definition/english/acceptable,(adjective),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accep/acceptable__us_3.mp3,acceptable__us_3.mp3
acceptance,C1,https://www.oxfordlearnersdictionaries.com/definition/english/acceptance,(noun),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accep/acceptance__us_1.mp3,acceptance__us_1.mp3
access,B1,https://www.oxfordlearnersdictionaries.com/definition/english/access_1,(noun),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/acces/access__us_2.mp3,access__us_2.mp3
access,B1,https://www.oxfordlearnersdictionaries.com/definition/english/access_2,(verb),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/acces/access__us_2.mp3,access__us_2.mp3
accessible,C1,https://www.oxfordlearnersdictionaries.com/definition/english/accessible,(adjective),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/acces/accessible__us_1.mp3,accessible__us_1.mp3
accident,A2,https://www.oxfordlearnersdictionaries.com/definition/english/accident,(noun),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accid/accident__us_2_rr.mp3,accident__us_2_rr.mp3
accidentally,B2,https://www.oxfordlearnersdictionaries.com/definition/english/accidentally,(adverb),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accid/accidentally__us_1.mp3,accidentally__us_1.mp3
accommodate,B2,https://www.oxfordlearnersdictionaries.com/definition/english/accommodate,(verb),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accom/accommodate__us_1.mp3,accommodate__us_1.mp3
accommodation,B1,https://www.oxfordlearnersdictionaries.com/definition/english/accommodation,(noun),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accom/accommodation__us_2.mp3,accommodation__us_2.mp3
accompany,B2,https://www.oxfordlearnersdictionaries.com/definition/english/accompany,(verb),https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accom/accompany__us_2.mp3,accompany__us_2.mp3
